timestamp, latitude, longitude, altitude_m, temperature_c, pressure_hpa
2026-03-01T10:00:00Z,34.164175,-119.044392,149.53,14.15,995.75
2026-03-01T10:00:30Z,34.164249,-119.044268,298.26,12.91,978.73
2026-03-01T10:01:00Z,34.164342,-119.044141,453.44,12.03,959.57
2026-03-01T10:01:30Z,34.164414,-119.044027,599.41,10.93,943.51
2026-03-01T10:02:00Z,34.164498,-119.043912,750.23,10.08,926.53
2026-03-01T10:02:30Z,34.164555,-119.043793,896.52,9.00,910.76
2026-03-01T10:03:00Z,34.164640,-119.043701,1050.47,8.33,894.15
2026-03-01T10:03:30Z,34.164728,-119.043564,1205.07,7.45,877.80
2026-03-01T10:04:00Z,34.164795,-119.043452,1350.82,6.04,862.61
2026-03-01T10:04:30Z,34.164857,-119.043327,1496.00,5.52,848.42
2026-03-01T10:05:00Z,34.164945,-119.043204,1652.68,4.54,833.29
2026-03-01T10:05:30Z,34.165022,-119.043075,1802.65,3.55,817.67
2026-03-01T10:06:00Z,34.165124,-119.042967,1950.37,2.46,803.77
2026-03-01T10:06:30Z,34.165204,-119.042852,2095.96,1.26,789.00
2026-03-01T10:07:00Z,34.165296,-119.042742,2252.32,0.44,774.53
2026-03-01T10:07:30Z,34.165376,-119.042616,2400.28,-0.60,761.17
2026-03-01T10:08:00Z,34.165462,-119.042495,2544.03,-1.58,748.39
2026-03-01T10:08:30Z,34.165536,-119.042373,2699.29,-2.17,735.09
2026-03-01T10:09:00Z,34.165598,-119.042259,2851.03,-3.47,721.68
2026-03-01T10:09:30Z,34.165684,-119.042149,2994.75,-4.47,709.76
2026-03-01T10:10:00Z,34.165774,-119.042041,3150.07,-5.69,696.39
2026-03-01T10:10:30Z,34.165857,-119.041931,3300.56,-6.86,683.67
2026-03-01T10:11:00Z,34.165943,-119.041818,3449.62,-7.49,671.35
2026-03-01T10:11:30Z,34.166029,-119.041715,3598.98,-8.39,659.69
2026-03-01T10:12:00Z,34.166116,-119.041591,3746.10,-9.65,649.12
2026-03-01T10:12:30Z,34.166191,-119.041467,3900.45,-10.27,637.25
2026-03-01T10:13:00Z,34.166272,-119.041366,4048.09,-11.23,626.22
2026-03-01T10:13:30Z,34.166345,-119.041252,4196.63,-12.18,614.60
2026-03-01T10:14:00Z,34.166412,-119.041127,4349.64,-13.21,603.62
2026-03-01T10:14:30Z,34.166485,-119.041023,4502.33,-14.48,593.03
2026-03-01T10:15:00Z,34.166572,-119.040889,4650.35,-14.98,583.16
2026-03-01T10:15:30Z,34.166668,-119.040771,4804.26,-16.21,571.04
2026-03-01T10:16:00Z,34.166737,-119.040659,4949.55,-17.33,562.68
2026-03-01T10:16:30Z,34.166804,-119.040532,5099.48,-18.41,551.79
2026-03-01T10:17:00Z,34.166891,-119.040399,5250.15,-18.95,541.97
2026-03-01T10:17:30Z,34.166976,-119.040260,5398.66,-19.95,532.40
2026-03-01T10:18:00Z,34.167044,-119.040133,5552.30,-20.93,522.98
2026-03-01T10:18:30Z,34.167122,-119.040003,5701.27,-22.35,513.80
2026-03-01T10:19:00Z,34.167195,-119.039894,5850.42,-23.02,505.14
2026-03-01T10:19:30Z,34.167256,-119.039779,6003.25,-24.19,495.24
2026-03-01T10:20:00Z,34.167335,-119.039651,6147.01,-24.71,486.89
2026-03-01T10:20:30Z,34.167404,-119.039539,6299.51,-25.86,478.61
2026-03-01T10:21:00Z,34.167477,-119.039420,6446.77,-26.77,470.57
2026-03-01T10:21:30Z,34.167555,-119.039289,6603.35,-28.15,461.36
2026-03-01T10:22:00Z,34.167632,-119.039172,6745.69,-29.01,454.03
2026-03-01T10:22:30Z,34.167714,-119.039055,6901.80,-29.98,444.57
2026-03-01T10:23:00Z,34.167811,-119.038941,7055.58,-30.81,437.04
2026-03-01T10:23:30Z,34.167905,-119.038816,7197.35,-31.30,430.43
2026-03-01T10:24:00Z,34.167992,-119.038695,7352.18,-32.80,422.37
2026-03-01T10:24:30Z,34.168070,-119.038581,7496.70,-34.00,415.36
2026-03-01T10:25:00Z,34.168150,-119.038478,7651.60,-34.63,406.96
2026-03-01T10:25:30Z,34.168220,-119.038381,7794.77,-35.76,400.33
2026-03-01T10:26:00Z,34.168308,-119.038260,7948.94,-36.81,393.42
2026-03-01T10:26:30Z,34.168389,-119.038152,8096.58,-37.86,386.67
2026-03-01T10:27:00Z,34.168466,-119.038021,8251.19,-38.59,379.07
2026-03-01T10:27:30Z,34.168551,-119.037892,8398.95,-39.39,372.96
2026-03-01T10:28:00Z,34.168632,-119.037768,8547.66,-40.20,365.91
2026-03-01T10:28:30Z,34.168728,-119.037630,8699.63,-41.51,360.36
2026-03-01T10:29:00Z,34.168803,-119.037502,8848.85,-42.52,352.71
2026-03-01T10:29:30Z,34.168878,-119.037385,9002.87,-43.45,346.67
2026-03-01T10:30:00Z,34.168981,-119.037255,9151.61,-44.24,341.20
2026-03-01T10:30:30Z,34.169071,-119.037141,9300.08,-45.41,334.75
2026-03-01T10:31:00Z,34.169137,-119.037023,9451.01,-46.33,329.85
2026-03-01T10:31:30Z,34.169215,-119.036911,9601.25,-47.39,322.56
2026-03-01T10:32:00Z,34.169300,-119.036788,9747.69,-48.26,317.66
2026-03-01T10:32:30Z,34.169368,-119.036660,9905.48,-49.26,311.62
2026-03-01T10:33:00Z,34.169433,-119.036536,10049.58,-50.21,306.33
2026-03-01T10:33:30Z,34.169530,-119.036420,10204.46,-51.45,301.03
2026-03-01T10:34:00Z,34.169608,-119.036300,10347.46,-52.17,296.00
2026-03-01T10:34:30Z,34.169683,-119.036181,10494.94,-53.12,290.22
2026-03-01T10:35:00Z,34.169769,-119.036066,10650.97,-53.97,285.48
2026-03-01T10:35:30Z,34.169854,-119.035960,10799.36,-55.38,279.82
2026-03-01T10:36:00Z,34.169938,-119.035838,10949.71,-56.26,275.63
2026-03-01T10:36:30Z,34.170015,-119.035714,11099.18,-57.27,270.05
2026-03-01T10:37:00Z,34.170101,-119.035610,11248.70,-58.46,265.41
2026-03-01T10:37:30Z,34.170175,-119.035500,11399.15,-59.24,261.34
2026-03-01T10:38:00Z,34.170256,-119.035360,11547.01,-59.80,257.04
2026-03-01T10:38:30Z,34.170344,-119.035246,11701.60,-61.02,251.53
2026-03-01T10:39:00Z,34.170429,-119.035135,11850.17,-62.20,246.80
2026-03-01T10:39:30Z,34.170501,-119.035032,11999.10,-63.16,242.92
2026-03-01T10:40:00Z,34.170569,-119.034905,12140.94,-64.02,239.18
2026-03-01T10:40:30Z,34.170663,-119.034787,12296.96,-64.97,234.39
2026-03-01T10:41:00Z,34.170755,-119.034681,12449.79,-65.91,230.06
2026-03-01T10:41:30Z,34.170848,-119.034556,12600.32,-66.84,225.89
2026-03-01T10:42:00Z,34.170932,-119.034435,12751.60,-67.67,221.55
2026-03-01T10:42:30Z,34.170998,-119.034321,12901.81,-68.79,217.19
2026-03-01T10:43:00Z,34.171060,-119.034215,13049.84,-69.58,214.38
2026-03-01T10:43:30Z,34.171150,-119.034098,13200.49,-70.48,210.44
2026-03-01T10:44:00Z,34.171226,-119.033976,13354.14,-71.71,205.93
2026-03-01T10:44:30Z,34.171297,-119.033859,13505.09,-72.56,202.68
2026-03-01T10:45:00Z,34.171365,-119.033746,13651.34,-74.00,200.21
2026-03-01T10:45:30Z,34.171435,-119.033641,13799.72,-74.55,195.40
2026-03-01T10:46:00Z,34.171519,-119.033512,13949.76,-75.18,192.55
2026-03-01T10:46:30Z,34.171600,-119.033414,14103.25,-76.83,189.25
2026-03-01T10:47:00Z,34.171684,-119.033273,14250.28,-77.79,185.92
2026-03-01T10:47:30Z,34.171781,-119.033150,14399.52,-78.67,182.10
2026-03-01T10:48:00Z,34.171865,-119.033039,14546.01,-79.37,179.63
2026-03-01T10:48:30Z,34.171954,-119.032909,14701.23,-80.47,175.95
2026-03-01T10:49:00Z,34.172045,-119.032764,14851.35,-81.39,173.39
2026-03-01T10:49:30Z,34.172145,-119.032635,15003.26,-82.65,169.33
2026-03-01T10:50:00Z,34.172219,-119.032527,15148.72,-83.56,166.50
2026-03-01T10:50:30Z,34.172305,-119.032405,15299.28,-84.45,163.29
2026-03-01T10:51:00Z,34.172394,-119.032293,15448.09,-85.41,160.54
2026-03-01T10:51:30Z,34.172481,-119.032169,15595.80,-86.10,159.71
2026-03-01T10:52:00Z,34.172570,-119.032056,15754.75,-87.28,154.84
2026-03-01T10:52:30Z,34.172666,-119.031955,15900.29,-88.32,152.45
2026-03-01T10:53:00Z,34.172762,-119.031835,16047.47,-89.62,149.64
2026-03-01T10:53:30Z,34.172847,-119.031689,16197.97,-90.41,147.17
2026-03-01T10:54:00Z,34.172924,-119.031576,16353.91,-91.24,144.81
2026-03-01T10:54:30Z,34.173006,-119.031454,16501.15,-92.51,141.66
2026-03-01T10:55:00Z,34.173086,-119.031333,16649.75,-93.20,139.35
2026-03-01T10:55:30Z,34.173172,-119.031215,16801.79,-94.40,136.79
2026-03-01T10:56:00Z,34.173244,-119.031094,16949.36,-95.17,134.70
2026-03-01T10:56:30Z,34.173328,-119.030966,17102.94,-95.98,132.73
2026-03-01T10:57:00Z,34.173391,-119.030855,17247.57,-96.86,129.88
2026-03-01T10:57:30Z,34.173463,-119.030725,17394.36,-98.18,128.36
2026-03-01T10:58:00Z,34.173532,-119.030582,17549.88,-99.34,125.27
2026-03-01T10:58:30Z,34.173607,-119.030464,17705.42,-100.30,123.29
2026-03-01T10:59:00Z,34.173664,-119.030342,17845.69,-101.10,120.87
2026-03-01T10:59:30Z,34.173756,-119.030229,17997.58,-101.98,118.87
2026-03-01T11:00:00Z,34.173835,-119.030121,18142.36,-103.00,116.85
2026-03-01T11:00:30Z,34.173901,-119.029990,18301.07,-104.15,114.99
2026-03-01T11:01:00Z,34.173979,-119.029864,18449.88,-105.04,113.23
2026-03-01T11:01:30Z,34.174060,-119.029753,18599.67,-106.19,110.79
2026-03-01T11:02:00Z,34.174123,-119.029651,18749.08,-106.67,107.73
2026-03-01T11:02:30Z,34.174213,-119.029537,18900.69,-107.85,106.81
2026-03-01T11:03:00Z,34.174295,-119.029411,19047.79,-108.63,105.37
2026-03-01T11:03:30Z,34.174384,-119.029282,19195.32,-109.85,102.95
2026-03-01T11:04:00Z,34.174471,-119.029150,19351.29,-110.77,101.28
2026-03-01T11:04:30Z,34.174561,-119.029045,19502.13,-111.67,99.66
2026-03-01T11:05:00Z,34.174649,-119.028922,19647.86,-112.41,96.97
2026-03-01T11:05:30Z,34.174740,-119.028804,19798.98,-113.58,96.32
2026-03-01T11:06:00Z,34.174819,-119.028681,19948.82,-114.77,93.96
2026-03-01T11:06:30Z,34.174896,-119.028555,20104.89,-115.47,92.02
2026-03-01T11:07:00Z,34.174969,-119.028427,20252.67,-116.63,91.33
2026-03-01T11:07:30Z,34.175083,-119.028307,20400.16,-117.37,88.59
2026-03-01T11:08:00Z,34.175161,-119.028194,20548.48,-118.36,87.72
2026-03-01T11:08:30Z,34.175227,-119.028074,20699.65,-119.92,86.39
2026-03-01T11:09:00Z,34.175300,-119.027960,20848.01,-120.60,84.76
2026-03-01T11:09:30Z,34.175388,-119.027838,20999.85,-121.60,82.96
2026-03-01T11:10:00Z,34.175466,-119.027727,21153.82,-122.30,81.40
2026-03-01T11:10:30Z,34.175541,-119.027620,21301.48,-123.58,79.70
2026-03-01T11:11:00Z,34.175628,-119.027496,21449.40,-124.28,78.61
2026-03-01T11:11:30Z,34.175693,-119.027378,21601.78,-125.51,77.59
2026-03-01T11:12:00Z,34.175763,-119.027266,21751.87,-126.25,76.33
2026-03-01T11:12:30Z,34.175861,-119.027135,21901.14,-127.31,73.74
2026-03-01T11:13:00Z,34.175935,-119.027019,22050.22,-128.19,73.40
2026-03-01T11:13:30Z,34.176031,-119.026908,22203.31,-129.42,72.00
2026-03-01T11:14:00Z,34.176110,-119.026765,22354.54,-130.27,71.24
2026-03-01T11:14:30Z,34.176202,-119.026654,22497.65,-130.92,69.41
2026-03-01T11:15:00Z,34.176281,-119.026519,22650.72,-132.32,68.48
2026-03-01T11:15:30Z,34.176353,-119.026400,22801.67,-132.94,67.33
2026-03-01T11:16:00Z,34.176432,-119.026288,22952.44,-134.43,65.81
2026-03-01T11:16:30Z,34.176494,-119.026171,23097.86,-134.85,64.79
2026-03-01T11:17:00Z,34.176582,-119.026047,23252.17,-136.28,63.14
2026-03-01T11:17:30Z,34.176653,-119.025918,23398.64,-136.97,62.01
2026-03-01T11:18:00Z,34.176745,-119.025789,23551.50,-138.19,61.10
2026-03-01T11:18:30Z,34.176831,-119.025666,23698.77,-138.99,59.84
2026-03-01T11:19:00Z,34.176924,-119.025544,23848.05,-140.14,59.62
2026-03-01T11:19:30Z,34.176998,-119.025439,23996.25,-140.46,58.50
2026-03-01T11:20:00Z,34.177080,-119.025313,24146.80,-142.08,57.63
2026-03-01T11:20:30Z,34.177159,-119.025210,24303.88,-143.31,56.50
2026-03-01T11:21:00Z,34.177232,-119.025097,24448.71,-143.74,54.64
2026-03-01T11:21:30Z,34.177312,-119.024978,24596.50,-144.89,54.56
2026-03-01T11:22:00Z,34.177381,-119.024846,24747.34,-145.97,53.18
2026-03-01T11:22:30Z,34.177466,-119.024742,24898.90,-146.93,52.00
2026-03-01T11:23:00Z,34.177552,-119.024611,25051.36,-147.90,52.17
2026-03-01T11:23:30Z,34.177626,-119.024479,25202.76,-148.92,50.24
2026-03-01T11:24:00Z,34.177687,-119.024355,25350.32,-150.04,49.80
2026-03-01T11:24:30Z,34.177755,-119.024232,25499.01,-150.86,48.85
2026-03-01T11:25:00Z,34.177844,-119.024115,25651.84,-152.26,47.67
2026-03-01T11:25:30Z,34.177926,-119.023991,25797.73,-152.81,47.07
2026-03-01T11:26:00Z,34.178029,-119.023857,25953.81,-153.59,46.53
2026-03-01T11:26:30Z,34.178096,-119.023754,26101.79,-154.66,44.90
